actor_id,actor_name,gender,gender_label
82428, Larry Mullen Jr.,2,Male
71041,"""Weird Al"" Yankovic",0,Unknown
62644,50 Cent,2,Male
157904,A. J. Langer,1,Female
58240,A. Michael Baldwin,0,Unknown
1215657,A. Russell Andrews,2,Male
1849987,A.D. Johnson,0,Unknown
60460,A.J. Buckley,2,Male
17236,A.J. Cook,1,Female
1527846,A.J. DeLucia,0,Unknown
88186,A.J. Johnson,1,Female
1393183,A.J. Tecce,0,Unknown
74133,AJ Bowen,2,Male
113926,AJ Michalka,1,Female
21352,Aaliyah,1,Female
52763,Aamir Khan,2,Male
56262,Aaron Abrams,2,Male
90130,Aaron Ashmore,2,Male
1228306,Aaron Brown,0,Unknown
6383,Aaron Eckhart,2,Male
77800,Aaron Frazier,2,Male
43373,Aaron Himelstein,2,Male
1136058,Aaron Hotch,0,Unknown
582740,Aaron Jaeger ,0,Unknown
21908,Aaron Kwok,2,Male
1689295,Aaron Langridge,0,Unknown
148655,Aaron Lohr,2,Male
84497,Aaron Paul,2,Male
180942,Aaron Poole,0,Unknown
53927,Aaron Ruell,2,Male
205525,Aaron Spivey-Sorrells,0,Unknown
11022,Aaron Stanford,2,Male
1053940,Aaron Takahashi,2,Male
27428,Aaron Taylor-Johnson,2,Male
143425,Aaron Tveit,2,Male
54247,Aaron Yoo,2,Male
235276,Aasheekaa Bathija,0,Unknown
20644,Aasif Mandvi,2,Male
85522,Abbas,2,Male
1036288,Abbey Lee,1,Female
174651,Abbey Lincoln,1,Female
1020717,Abbey Thickson,0,Unknown
968429,Abbie Cobb,1,Female
37260,Abbie Cornish,1,Female
35014,Abby Mukiibi Nkaaga,0,Unknown
1414726,Abby Wait,0,Unknown
67145,Abdelhafid Metalsi,0,Unknown
58431,Abdul Salis,2,Male
79003,Abhay Deol,2,Male
1339134,Abhinay Vaddi,0,Unknown
35793,Abhishek Bachchan,0,Unknown
160179,Abigail Bianca,1,Female
17140,Abigail Breslin,1,Female
88931,Abigail Chu,1,Female
123725,Abigail Spencer,1,Female
21132,Abraham Benrubi,2,Male
1325939,Ace Marrero,0,Unknown
211203,Ad van Kempen,2,Male
20804,Adam Alexi-Malle,2,Male
55257,Adam Arkin,2,Male
114603,Adam Barnett,0,Unknown
33527,Adam Beach,2,Male
5498,Adam Bousdoukos,0,Unknown
20250,Adam Boyd,0,Unknown
11702,Adam Brody,2,Male
108534,Adam Butcher,2,Male
58952,Adam Campbell,2,Male
76245,Adam Carolla,0,Unknown
1156586,Adam Chanler-Berat,2,Male
82427,Adam Clayton,0,Unknown
64144,Adam Crosby,2,Male
1216908,Adam David Thompson,2,Male
1182343,Adam DeFilippi,0,Unknown
936932,Adam DiMarco,2,Male
1023139,Adam Driver,2,Male
54503,Adam G. Sevani,2,Male
28472,Adam Garcia,2,Male
23429,Adam Godley,2,Male
6163,Adam Goldberg,2,Male
46530,Adam Hann-Byrd,0,Unknown
106965,Adam Harrington,2,Male
59256,Adam Herschman,2,Male
124824,Adam Horovitz,2,Male
35015,Adam Kotz,2,Male
143330,Adam Lamberg,2,Male
61607,Adam LeFevre,2,Male
217371,Adam Levine,2,Male
1376050,Adam Levy,2,Male
1085731,Adam Marcello,0,Unknown
17736,Adam Pascal,2,Male
56682,Adam Powell,2,Male
144292,Adam Rayner,2,Male
50583,Adam Rifkin,2,Male
49706,Adam Rodríguez,2,Male
962997,Adam Rose,2,Male
19292,Adam Sandler,2,Male
36801,Adam Scott,2,Male
1255902,Adam Shapiro,0,Unknown
1190325,Adam Szyszkowski,0,Unknown
27858,Adam Trese,2,Male
105235,Adar Beck,1,Female
81840,Adeel Akhtar,2,Male
53445,Adel Karam,0,Unknown
205474,Adelaide Clemens,1,Female
131781,Adelaide Kane,1,Female
110729,Adele Lamont,1,Female
144081,Aden Young,2,Male
1019865,Adetomiwa Edun,0,Unknown
31164,Adewale Akinnuoye-Agbaje,2,Male
440306,Adhir Kalyan,2,Male
1349443,Adi Zulkadry,0,Unknown
227849,Adil Hussain,2,Male
1342236,Adil Koukouh,0,Unknown
1372350,Adilet Usubaliyev,0,Unknown
142626,Aditya Roy Kapoor,2,Male
13313,Adolph Caesar,2,Male
17110,Adolph Davis,0,Unknown
14563,Adolphe Menjou,2,Male
20808,Adoni Maropis,2,Male
1157373,Adrian Bustamante,0,Unknown
42566,Adrian Dunbar,2,Male
933319,Adrian Gonzalez,0,Unknown
5090,Adrian Grenier,2,Male
33348,Adrian Holmes,2,Male
1555913,Adrian James,0,Unknown
76215,Adrian Lester,2,Male
94432,Adrian Martinez,2,Male
71900,Adrian Paul,2,Male
54445,Adrian Ross Magenty,2,Male
40311,Adrian Scarborough,2,Male
270,Adriana Barraza,1,Female
5460,Adriana Caselotti,1,Female
53260,Adriane Lenox,1,Female
88995,Adrianne Palicki,1,Female
