company_id,company_name
37103,"""DIA"" Productions GmbH & Co. KG"
12856,1.85 Films
48509,10 West Studios
5517,100 Bares
56736,1019 Entertainment
54684,101st Street Films
6691,10th Hole Productions
19233,120 Films
5113,120dB Films
23503,13 Ghosts Productions Canada Inc.
436,1492 Pictures
68080,1812 Productions
21468,1818
14358,1821 Pictures
20877,19 Entertainment
8532,1984 Private Defense Contractors
2689,2 Entertain
29694,2 Loop Films
1232,2003 Productions
3635,20th Century Fox Home Entertainment
18065,20th Century Fox Russia
2575,21 Laps Entertainment
77472,21st Century Film Production
57409,22 & Indiana Pictures
2157,26 Films
846,2929 Productions
23644,2DUX²
38011,2S Films
36390,3 Arts Entertainment
787,3 Arts Entertainment
12328,3 Dogs and a Pony
81141,3 Miles Apart Productions Ltd.
19248,3 in the Box
27271,30 Something Productions
45969,31 Juin Films
60171,33 Pictures
34035,33andOut Productions
5984,34th Street Films
2894,360 Pictures
22128,369 Productions
5313,3D Entertainment
22947,3DTK
7413,3Foot7
702,3L Filmproduktion GmbH
3208,3Mark Entertainment
80711,3ality Digital Entertainment
72018,3rd Partner Productions
38957,4 1/2 Film
4319,40 Acres & A Mule Filmworks
11367,4DH Films
94551,4Go West Productions
20665,4M
47354,5150 Action
53413,80 Days Productions
23008,87Eleven
18208,8:38 Productions
2939,98 MPH Productions
4502,A B Corp
59,A Band Apart
5855,A Bigger Boat
19865,A Grand Elephant
5389,A Happy Place
41962,A Hot Dog
29693,A Loopy Production LLC
19148,A Lucky Old Sun Production
64144,A May Sky Picture Entertainment
19959,A Plus Image
16144,A Space Between
1519,A&B Producoes
11858,A&E Television Networks
2248,A-Mark Entertainment
6128,A-Team
3922,A. Film
11473,A.J.O.Z. Films
59778,A113
41077,A24
634,ABC Pictures
68550,ADF Acquisitions
89132,AE Two Film Productions
19523,AFG Talons Productions
51860,AI-Film
2800,AMC Pictures
21817,ANA Media
12943,APJAC Productions
11005,AR Films
53610,AR-TL
1251,ARD
10947,ARD Degeto Film
5766,ARTE
3273,ASAF
32245,ASIG Productions
44419,ASQA Film Partnership
75277,AST Studios
1962,ATO Pictures
53904,ATR Films
37726,"AV Club, The"
3471,AV Pictures
494,AVCO Embassy Pictures
902,AZL Productions KG
297,Aardman Animations
2724,Abandon Entertainment
23700,Abbolita Productions
12383,Abe Shuji
36430,Abraham Productions
54946,Absinthe Productions
67883,Absolute Entertainment (II)
87857,Abu Dhabi Film Commission
31866,Abundant Productions
54030,Academy Films
18519,Acajou Films
2339,Access Films
4120,Access Motion Picture Group
56343,Ace Film Company
6100,Achte Babelsberg Film
978,Across the River Productions
90897,Act III
1153,Act III Communications
2361,Ad Hominem Enterprises
52241,AdScott Pictures
1424,Ada Films
3334,Adam Fields Productions
5565,Adam Productions
43394,Adam Schroeder Productions
4665,Addis Wechsler Pictures
40451,Adela Pictures
3703,Adlabs Films Ltd.
36765,Adventure Pictures
7309,Aegis Film Fund
10156,Affirm Films
10069,"Afrodita Audiovisual, A.I.E."
3608,After Dark Films
85248,After Eden Pictures
26343,Against the Wild Films
266,Agencja Produkcji Filmowej
25975,Aggregate Film
37361,Aggregate Films
794,Agi Orsi Productions
36299,Agresywna Banda
69542,Ahimsa Films
11732,Airborne Productions
63928,Aitysh Film
22596,Aja / Levasseur Productions
11466,Akil Production Company
10920,Akira Committee Company Ltd.
63902,Alabama Production Group
300,Alameda Films
6401,Alan Greenspan Productions
12049,Alan Jay Lerner Productions
11499,Alan Young Pictures
16311,Albert S. Ruddy Productions
3997,Alberta Film Entertainment
7381,Alberto Grimaldi Productions
2533,Albino Alligator Productions
1088,Alcon Entertainment
644,Alcor Films
11006,Aldamisa Entertainment
49478,Aldrich Group
50893,Alex Entertainment Inc.
2926,Alexandre Films
3061,Alfama Films
10211,Alfran Productions
10715,Alfred J. Hitchcock Productions
54940,Algonquin Productions Limited
61372,AliBella Pictures
69484,Alibaba Pictures Group
17823,Alive Films
10535,All Girl Productions
58264,All Knight Productions
89633,All Lit Up Productions
8842,All Night Productions
23614,All Pictures Media
3076,Allagash Films
3533,Allan Zeman Productions
54454,Allegiance Theater
803,Alliance Atlantis Communications
579,Alliance Communications
10166,Alliance Entertainment
2514,Alliance Films
517,Allied Artists
4928,Allied Artists Pictures
1755,Allied Filmmakers
8770,"Allied Stars, Ltd."
5570,Allied Vision
47706,Allison Shearmur Productions
10067,Alloy Entertainment
26679,Allure Entertainment
3259,Almerica Films
73337,Aloha Pictures
18209,Alpha Core
11462,Alphaville Films
6556,Alphaville Productions
12545,Also Known As Pictures
15636,Alta Loma Entertainment
5084,Altavista Films
11664,Altitude Entertainment
24930,Alvernia Studios
76846,Amaro Films
15465,Amasia Entertainment
15689,Amaze Film + Television
58773,Amazon Prime Instant Video
20580,Amazon Studios
23031,Amberdale Productions
3427,Ambience Entertainment
8104,Ambient Entertainment GmbH
56,Amblin Entertainment
14406,Ambush Entertainment
421,Amen Ra Films
5263,Amercent Films
23449,American Empirical Pictures
80469,American Entertainment Investors
21451,American Entertainment Partners II L.P.
5264,American Entertainment Partners L.P.
7486,American Film Company
12226,American Film Institute (AFI)
38181,American Films
8310,American Filmworks
52007,American Girl Brands
9266,American International Pictures (AIP)
8827,American Playhouse Theatrical Films
42325,American Work
70,American Zoetrope
22794,Amok Productions
36616,Amusement Park Films
81133,Amy Robinson Productions
8689,An Olive Branch Productions
4251,Anagram Pictures Inc.
450,Anarchos Productions
16839,Anchor Bay Entertainment
5860,Anchor Bay Films
11547,Ancine
8908,Andalasia Productions
22791,Andale Pictures
1683,Andell Entertainment
2313,Andrea Sperling Productions
11996,Andreevsky Flag Film Company
19194,Andrew Lauren Productions (ALP)
79539,Angel City Pictures
89133,Angel Eyes Productions
2996,Angel films
12087,Angry Films
9965,Anima Estudios
26995,Animal Kingdom
8089,Animal Logic
63105,Animal Planet
30217,Animated Family Films
15196,Animation Picture Company
51312,Animationwerks
4135,Animus Films
867,Anka Film
21450,Ankor-Film
13184,Annapurna Pictures
34710,Annuit Coeptis Entertainment II
