director_id,director_name,gender,gender_label
1454563,Aaron Hann,0,Unknown
58292,Aaron Schneider,2,Male
35734,Aaron Seltzer,2,Male
1066308,Aaron T. Wells,0,Unknown
39104,Abel Ferrara,2,Male
16328,Adam Brooks,2,Male
76245,Adam Carolla,0,Unknown
6163,Adam Goldberg,2,Male
70890,Adam Green,2,Male
66514,Adam Jay Epstein,2,Male
64743,Adam Marcus,2,Male
55710,Adam McKay,2,Male
585272,Adam Rapp,0,Unknown
50583,Adam Rifkin,2,Male
20739,Adam Shankman,2,Male
7270,Adrian Lyne,2,Male
66496,Adrienne Shelly,1,Female
1128,Agnieszka Holland,1,Female
129715,Agnieszka Wojtowicz-Vosloo,1,Female
127823,Agustín Díaz Yanes,0,Unknown
16767,Aki Kaurismäki,0,Unknown
5026,Akira Kurosawa,2,Male
5575,Akiva Goldsman,2,Male
62854,Akiva Schaffer,2,Male
558559,Al Silliman Jr.,0,Unknown
11983,Alain Resnais,2,Male
21278,Alan Alda,2,Male
111247,Alan Cohn,2,Male
6349,Alan J. Pakula,2,Male
69801,Alan Metter,2,Male
9168,Alan Parker,2,Male
113225,Alan Poul,2,Male
72427,Alan Rudolph,2,Male
129941,Alan Shapiro,2,Male
55948,Alan Smithee,0,Unknown
70110,Alan Yuen,0,Unknown
13,Albert Brooks,2,Male
11447,Albert Hughes,2,Male
58729,Albert Magnoli,0,Unknown
21031,Alejandro Agresti,2,Male
19840,Alejandro Amenábar,2,Male
223,Alejandro González Iñárritu,2,Male
72960,Alejandro Monteverde,0,Unknown
1210747,Aleksandr Veledinskiy,0,Unknown
270361,Aleksey German,0,Unknown
1262481,Alessandro Carloni,0,Unknown
31493,Alex Cox,0,Unknown
92287,Alex Craig Mann,2,Male
2036,Alex Garland,2,Male
71797,Alex Gibney,2,Male
78040,Alex Kendrick,2,Male
21085,Alex Proyas,2,Male
474199,Alex Ranarivelo,0,Unknown
91252,Alex Rivera,2,Male
641437,Alex Smith,2,Male
88077,Alex Zamm,2,Male
27875,Alex van Warmerdam,2,Male
13235,Alexander Payne,0,Unknown
59291,Alexandre Aja,2,Male
11218,Alfonso Cuarón,2,Male
2636,Alfred Hitchcock,2,Male
157879,Alison Maclean,1,Female
83198,Allan Arkush,2,Male
93905,Allan Dwan,2,Male
16834,Allen Coulter,2,Male
11448,Allen Hughes,2,Male
3110,Allison Anders,1,Female
54781,Allison Burnett,1,Female
938649,Amanda Gusack,1,Female
56375,Amat Escalante,0,Unknown
57434,Amy Heckerling,1,Female
21371,Amy Holden Jones,1,Female
1148217,Analeine Cal y Mayor,0,Unknown
26481,Anand Tucker,2,Male
71082,Andrea Arnold,1,Female
40541,Andrea Di Stefano,1,Female
58728,Andrei Konchalovsky,2,Male
8452,Andrei Tarkovsky,2,Male
5524,Andrew Adamson,2,Male
41550,Andrew Bergman,0,Unknown
40864,Andrew Bujalski,0,Unknown
64754,Andrew Currie,2,Male
12989,Andrew Davis,2,Male
37618,Andrew Dominik,2,Male
62721,Andrew Douglas,2,Male
909318,Andrew Erwin,0,Unknown
41549,Andrew Fleming,2,Male
120247,Andrew Gurland,2,Male
586002,Andrew Haigh,2,Male
1331465,Andrew Hyatt,0,Unknown
