id,title,original_language,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,overview,tagline,status,homepage,release_year,release_month,decade,profit
19995,Avatar,en,2009-12-10,237000000,2787965087,162.0,7.2,11800,150.437577,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,Released,http://www.avatarmovie.com/,2009,12,2000,2550965087
285,Pirates of the Caribbean: At World's End,en,2007-05-19,300000000,961000000,169.0,6.9,4500,139.082615,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",Released,http://disney.go.com/disneypictures/pirates/,2007,5,2000,661000000
206647,Spectre,en,2015-10-26,245000000,880674609,148.0,6.3,4466,107.376788,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",A Plan No One Escapes,Released,http://www.sonypictures.com/movies/spectre/,2015,10,2010,635674609
49026,The Dark Knight Rises,en,2012-07-16,250000000,1084939099,165.0,7.6,9106,112.31295,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,Released,http://www.thedarkknightrises.com/,2012,7,2010,834939099
49529,John Carter,en,2012-03-07,260000000,284139100,132.0,6.1,2124,43.926995,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.",Released,http://movies.disney.com/john-carter,2012,3,2010,24139100
559,Spider-Man 3,en,2007-05-01,258000000,890871626,139.0,5.9,3576,115.699814,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.,Released,http://www.sonypictures.com/movies/spider-man3/,2007,5,2000,632871626
38757,Tangled,en,2010-11-24,260000000,591794936,100.0,7.4,3330,48.681969,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",They're taking adventure to new lengths.,Released,http://disney.go.com/disneypictures/tangled/,2010,11,2010,331794936
99861,Avengers: Age of Ultron,en,2015-04-22,280000000,1405403694,141.0,7.3,6767,134.279229,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,Released,http://marvel.com/movies/movie/193/avengers_age_of_ultron,2015,4,2010,1125403694
767,Harry Potter and the Half-Blood Prince,en,2009-07-07,250000000,933959197,153.0,7.4,5293,98.885637,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,Released,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,2009,7,2000,683959197
209112,Batman v Superman: Dawn of Justice,en,2016-03-23,250000000,873260194,151.0,5.7,7004,155.790452,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,Released,http://www.batmanvsupermandawnofjustice.com/,2016,3,2010,623260194
