movie_id,actor_id,character,cast_order
49529,60900,John Carter,1
49529,21044,Dejah Thoris,2
49529,2206,Sola,3
49529,5293,Tars Tarkas,4
49529,19159,Tal Hajus,5
49529,2983,Matai Shang,6
49529,8785,Tardos Mors,7
49529,17287,Sab Than,8
49529,17648,Kantos Kan,9
49529,17419,Powell,10
38757,69899,Flynn Rider (voice),1
38757,16855,Rapunzel (voice),2
38757,2517,Mother Gothel (voice),3
38757,2372,Stabbington Brother (voice),4
38757,22132,Captain of the Guard (voice),5
38757,4175,Big Nose Thug (voice),6
38757,18,Hook Hand Thug (voice),7
38757,1219029,Short Thug (voice),8
38757,10460,Vlad (voice),9
38757,1273208,Young Rapunzel / Little Girl (voice),10
767,10980,Harry Potter,1
767,10989,Ron Weasley,2
767,10990,Hermione Granger,3
767,10993,Draco Malfoy,4
767,5658,Albus Dumbledore,5
767,388,Horace Slughorn,6
767,1283,Bellatrix Lestrange,7
767,1923,Rubeus Hagrid,8
767,10978,Minerva McGonagall,9
767,4566,Severus Snape,10
1452,17271,Superman / Clark Kent,1
1452,1979,Lex Luthor,2
1452,7517,Lois Lane,3
1452,11006,Richard White,4
1452,7489,Kitty Kowalski,5
1452,8924,Perry White,6
1452,53492,Jimmy Olsen,7
1452,2639,Martha Kent,8
1452,3084,Jor-El,9
1452,53493,Stanford,10
49521,73968,Clark Kent / Kal-El,1
49521,9273,Lois Lane,2
49521,335,General Zod,3
49521,1269,Jonathan Kent,4
49521,2882,Martha Kent,5
49521,934,Jor-El,6
49521,2975,Perry White,7
49521,43202,Faora-Ul,8
49521,22227,Colonel Hardy,9
49521,213049,Lana Lang,10
2454,25130,Prince Caspian,1
2454,5528,Peter Pevensie,2
2454,5529,Susan Pevensie,3
2454,5527,Edmund Pevensie,4
2454,5526,Lucy Pevensie,5
2454,2166,King Miraz,6
2454,25132,Queen Prunaprismia,7
2454,22970,Trumpkin,8
2454,11184,Nikabrik,9
2454,25133,Doktor Cornelius,10
2268,45589,Lyra Belacqua,1
2268,2227,Marisa Coulter,2
2268,8784,Lord Asriel,3
2268,16431,Lee Scoresby,4
2268,10912,Serafina Pekkala,5
2268,1281,Pantalaimon (voice),6
2268,1327,Iorek Byrnison (voice),7
2268,45585,Roger Parslow,8
2268,6972,Ragnar Sturlusson (voice),9
2268,5470,Stelmania (voice),10
8373,10959,Sam Witwicky,1
8373,19537,Mikaela Banes,2
8373,19536,Captain Lennox,3
